Weights,Returns,Test Steps,Test Actions,Substation
"[0.15986683520032036, 0.3676793477366569, 0.47245381706302275]","[2.6685751143311944, 2.492025446518623, -1.0191638484404622]",2016,[24],['0']
"[0.7577914546940101, 0.2330100446576745, 0.00919850064831545]","[0.5615159370104486, 0.5131598830064136, -0.28809523809524]",2016,[27],['0']
"[0.3691394618050141, 0.20319935611270426, 0.4276611820822817]","[1.4851707382225259, 1.446059583952585, -0.8389050000000018]",2016,"[4, 19]","['0', '0']"
"[0.11487405663515987, 0.7061689617201281, 0.17895698164471197]","[1.4877065877794486, 1.446862725079297, -0.8584323809523825]",2016,"[20, 26]","['0', '0']"
"[0.6330131925788041, 0.10764553009720301, 0.2593412773239929]","[1.0568691840767865, 1.0086203664779676, -0.4799999999999977]",2016,"[31, 51, 27]","['2', '3', '0']"
"[0.2116730064343588, 0.4080614755250837, 0.3802655180405576]","[1.0269163999011135, 0.9745416954517352, -0.5760000000000038]",2016,"[28, 23]","['0', '0']"
"[0.36757734171382245, 0.2536939877281858, 0.37872867055799164]","[0.9933368238111339, 0.9799516496658334, -0.5760000000000038]",2016,[19],['0']
"[0.7047483277563114, 0.041066431205424934, 0.25418524103826373]","[1.050420712711911, 0.9993045327027648, -0.5760000000000038]",2016,"[39, 0, 28, 11]","['3', None, '0', '0']"
"[0.27818470986495225, 0.2664193485054666, 0.45539594162958114]","[1.1144674086247883, 1.027743437258402, -0.4799999999999977]",2016,"[8, 4, 31, 10, 27]","['0', '0', '2', '0', '0']"
"[0.11478944572328231, 0.14360540278745432, 0.7416051514892633]","[0.3761482599089541, 0.41482997544876665, -0.38457023809522967]",446,"[1, 1, 17]","['0', '0', '0']"
